<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>

ضهرم8024,ITM,15,4,478930000.00,871665000.00,1275,0.16,31929,3.27,31530,1.98,110,29190,31181,8,1000,30000,79,اهرم,58122,-1.30,57989,-1.53,20260822,20261118,9,950,122,293,0,222,0,222,0,20,0.00,0.00,0,0,OTM,طهرم8024
ضهرم8027,ITM,88,13,1796034000.00,3370554000.00,198,41.43,20409,-7.22,20245,-7.97,7,20245,21629,10,1000,42000,79,اهرم,58122,-1.30,57989,-1.53,20260822,20261118,999,1990,1000,1,10.50,1400,39.15,1763,-16.67,5,174366000.00,5290000.00,3,3,OTM,طهرم8027
ضملت6026,OTM,1533297,3854,38797974000.00,2365887405000.00,2289492,45.50,25,8.70,18,-21.74,3,18,19,6000,1000,1754,9,وبملت,1555,1.50,1542,0.65,20260613,20260909,0,0,70,627,0,200,0,200,0,1,0.00,0.00,0,0,ITM,طملت6026
ضملت8072,ITM,565,5,273981000.00,879140000.00,26122,0.25,485,4.75,485,4.75,433,406,496,1,1000,1200,72,وبملت,1555,1.50,1542,0.65,20260815,20261111,499,50,1,8100,0,11,0,11,0,500,0.00,0.00,0,0,OTM,طملت8072
ضملت8075,ITM,8678,58,2504633000.00,13494290000.00,52749,2.62,289,2.85,285,1.42,6,285,288,100,1000,1500,72,وبملت,1555,1.50,1542,0.65,20260815,20261111,0,0,6,266,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت8075
ضملت8078,OTM,0,0,0.00,0.00,2964,0,105,0,157,49.52,222,108,193,99,1000,1800,72,وبملت,1555,1.50,1542,0.65,20260815,20261111,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت8078
ضجار6036,ITM,972,4,680400000.00,983664000.00,7754,14.32,700,0,700,0,1000,650,700,830,1000,331,9,وتجارت,1012,2.95,1012,2.95,20260609,20260909,500,9,0,0,0,10,0,10,0,2000,0.00,0.00,0,0,OTM,طجار6036
ضجار6050,OTM,104422,283,7110198000.00,96498248000.00,322320,21.75,68,-20.0,60,-29.41,2000,59,60,1465,1000,1041,9,وتجارت,1012,2.95,1012,2.95,20260826,20260909,0,0,31,50,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طجار6050
ضخود7132,ITM,310899,1108,54902364000.00,218451792000.00,3841491,-0.52,177,-5.35,179,-4.28,494,177,178,1000,1000,550,30,خودرو,714,-2.19,717,-1.78,20260701,20260930,134852,6,5,35577,0,5,0,5,20.58,1320322,234760241000.00,1897164000.00,756,350324,OTM,طخود7132
