<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>

ضهرم6040,ITM,425,53,14027608000.00,25027825000.00,27671,-0.56,33006,2.04,33110,2.36,2,32001,33132,10,1000,26000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,203,13,8,1000,30,13,-10,9,0.91,129517,1298642510000.00,193549000.00,67,22055,OTM,طهرم6040
ضهرم6041,ITM,506,53,15648325000.00,29797834000.00,27024,-0.11,30926,1.60,30901,1.51,1,30900,31220,1,1000,28000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,573,13,9,100,-26.67,11,-40,9,21.20,93359,1927639792000.00,283222000.00,79,32734,OTM,طهرم6041
ضهرم6042,ITM,5365,275,155232881000.00,315109688000.00,79054,-4.37,28934,1.49,29200,2.42,1,28000,29199,100,1000,30000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,1092,11,9,3750,-45,11,-40,12,21.68,196965,6907444144000.00,1416288000.00,410,117948,OTM,طهرم6042
ضهرم6043,ITM,12608,586,316174606000.00,742472512000.00,103435,-8.20,25077,2.06,25225,2.66,1,24920,25235,100,1000,34000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,1000,25,19,459,-77.78,20,-68.89,28,22.21,378948,18918739029000.00,9023142000.00,1130,321261,OTM,طهرم6043
ضهرم6044,ITM,33232,1220,705625519000.00,1956999248000.00,142965,-13.48,21233,2.95,21209,2.84,14,20751,21370,42,1000,38000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,185,108,75,70,-47.19,94,-39.89,107,5.88,206593,3975537501000.00,7258073000.00,847,67791,OTM,طهرم6044
ضهرم6045,ITM,50266,1671,870129418000.00,2906525484000.00,204489,-11.77,17310,2.59,17499,3.71,130,17210,17499,269,1000,42000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,3,165,152,27,-40.82,158,-36.33,170,21.35,407166,10430773014000.00,30106751000.00,1585,177126,OTM,طهرم6045
ضهرم6046,ITM,66448,1729,892534613000.00,3913056272000.00,178038,-13.95,13432,2.35,13600,3.63,664,13600,13635,1,1000,46000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,10,250,216,353,-42.71,220,-27.34,279,9.87,112407,3200263816000.00,15136912000.00,1084,54344,OTM,طهرم6046
ضهرم6047,ITM,227235,3615,2216822825000.00,13379875245000.00,232884,-18.58,9756,0.94,9727,0.64,11,9700,9827,60,1000,50000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,672,498,470,88,-38.97,473,-29.81,544,63.50,245722,14326457031000.00,132944189000.00,2192,244252,OTM,طهرم6047
ضهرم6048,ITM,252215,3839,1289100738000.00,14852689135000.00,237126,8.81,5111,-5.94,5250,-3.39,3,5220,5270,200,1000,56000,18,اهرم,58889,3.75,59032,4.00,20260620,20260916,1,1777,1760,5,-15.30,1760,-15.88,1748,19.81,194965,13850633911000.00,411133395000.00,3232,235199,OTM,طهرم6048
