Buy_CountI,Buy_CountN,Buy_I_Volume,Buy_N_Volume,Sell_CountI,Sell_CountN,Sell_I_Volume,Sell_N_Volume,bvol,cs,cs_id,eps,id,isin,l18,l30,mv,pc,pcc,pcp,pd1,pd2,pd3,pd4,pd5,pe,pf,pl,plc,plp,pmax,pmin,po1,po2,po3,po4,po5,py,qd1,qd2,qd3,qd4,qd5,qo1,qo2,qo3,qo4,qo5,time,tmax,tmin,tno,tval,tvol,z,zd1,zd2,zd3,zd4,zd5,zo1,zo2,zo3,zo4,zo5
17394,20,159015370,4610561,232287,171,162861487,764444,1,تولید محصولات کامپیوتری الکترونیکی و نوری,26,4427,60235881999727383,IRO1ACCO0001,آکو,آکو باتری ایرانیان,442683600000000,44180,-10,-0.02,44600,44590,44580,44560,44550,10,44510,44610,420,0.95,45300,42870,44620,44630,44640,44650,44660,44190,84598,3675,3708,5418,35559,49471,14500,3790,14320,21297,12:30:01,45510,42870,268769,7228679667360,163625931,10020000000,18,2,4,3,12,31,45,13,50,41
758,25,17951008,900000,99742,10,11849915,7001093,1,عرضه برق، گاز، بخار و آب گرم,40,2261,19239905145688600,IRO3MNJZ0001,منجیل,تولید نیروی برق سبز منجیل,70050000000000,23350,680,3,23350,23340,23320,23300,23250,10.3,23350,23350,680,3,23350,23350,0,0,0,0,0,22670,48010641,46900,12815,1822,31427,0,0,0,0,0,12:29:59,23350,21990,100937,440171036800,18851008,3000000000,4537,16,8,3,7,0,0,0,0,0
18988,57,46269518,3046602,8414,23,40607742,8708378,1,صندوق سرمایه‌گذاری قابل معامله,68,,34144395039913458,IRTKMOFD0001,عیار,صندوق طلای عیار مفید,3139542505000000,633611,-6874,-1.07,636320,636246,636211,636200,636150,,629670,636356,-4129,-0.64,638400,629500,636340,636356,636357,636360,636400,640485,50,372,4,112,200,4460,9229,2930,69256,3170,13:03:58,704533,576437,46068,32643241947396,51519352,4955000000,1,2,2,3,1,1,3,2,6,2
446,5,8386905,92000,20841,11,2477814,6001091,1,سیمان، آهک و گچ,53,2710,17038760170440118,IRO3MRCZ0001,سمهریز,صنعتی معدنی سیمان تجارت مهریز,67050000000000,26820,780,3,26820,26810,26800,26790,26750,9.9,26820,26820,780,3,26820,26820,0,0,0,0,0,26040,37244182,53758,9850,21187,5185,0,0,0,0,0,12:29:59,26820,25260,21390,227404232100,8478905,2500000000,4123,11,7,3,4,0,0,0,0,0
5002,42,4076524114,900957596,4956,40,3541498472,1435983238,1,بانک‌ها و موسسات اعتباری,57,454,778253364357513,IRO1BMLT0001,وبملت,بانک ملت,5120348000000000,1514,43,2.92,1515,1514,1513,1512,1511,3.3,1505,1515,44,2.99,1515,1492,1519,1520,1521,1527,1528,1471,1034566026,8859462,2926089,1620482,2773351,4177838,5000,39400,50000,9850,12:29:52,1515,1427,21072,7534561115198,4977481710,3382000000000,2439,77,30,34,36,7,1,1,1,1
3823,10,305693981,23523488,1179,10,129384241,199833228,1,بانک‌ها و موسسات اعتباری,57,813,9536587154100457,IRO1BPAS0001,وپاسار,بانک  پاسارگاد,4798122790580000,10220,-30,-0.29,10400,10390,10380,10370,10360,12.6,10240,10410,160,1.56,10530,9990,10410,10420,10430,10440,10450,10250,396457,158400,156212,366914,649449,48659,93141,415480,537180,794586,12:29:57,10550,9950,15190,3363238645440,329217469,469483639000,9,21,10,13,22,1,6,10,12,15
173,4,16000194,400000,12434,9,1399306,15000888,1,خودرو و ساخت قطعات,34,498,19492025284339283,IRO5GLPA0001,خگلپا,فنرسازی زر گلپایگان,7272000000000,4040,110,2.8,4040,4030,4020,4010,4000,8.1,4040,4040,110,2.8,4040,4040,0,0,0,0,0,3930,329845396,295881,84328,141559,321713,0,0,0,0,0,12:29:58,4040,3820,12778,66256783760,16400194,1800000000,7355,20,9,3,29,0,0,0,0,0
1488,9,226725491,64898482,8527,12,224779346,66844627,1,فلزات اساسی,27,643,20092044608974663,IRO3FLBZ0001,احیا,احیا استیل فولاد بافت,316284150000000,4930,140,2.92,4930,4920,4910,4900,4890,7.7,4930,4930,140,2.92,4930,4850,0,0,0,0,0,4790,106171068,1234745,68262,312952,224782,0,0,0,0,0,12:29:56,4930,4650,11594,1437451190150,291623973,64155000000,858,23,16,19,19,0,0,0,0,0
850,28,68770125,2760000,9278,6,21511643,50018482,1,محصولات شیمیایی,44,333,30714151942396396,IRO1TBAN0001,تابان,گروه پتروشیمی تابان فردا,4443000000000000,14810,430,2.99,14810,14800,14790,14780,14770,44.5,14810,14810,430,2.99,14810,14810,0,0,0,0,0,14380,1344073839,2031818,170256,169009,216740,0,0,0,0,0,12:30:01,14810,13950,10907,1059361151250,71530125,300000000000,9999,139,21,20,53,0,0,0,0,0
4756,11,16509134,136461,2821,15,15795002,850593,1,استخراج کانه‌های فلزی,13,9504,8175784894140974,IRO3PZAZ0001,فزر,پویا زرکان آق دره,1443960000000000,267400,7000,2.69,268200,268100,268000,267900,267800,28.1,268000,268200,7800,3,268200,260500,0,0,0,0,0,260400,5441816,97905,86994,31939,37715,0,0,0,0,0,12:29:59,268200,252600,10758,4451362145000,16645595,5400000000,3105,80,66,18,31,0,0,0,0,0
